"rules","support","confidence","lift","conviction"
"{style=Grills} => {cuisine=American}",0.00938364678991058,0.72,1.97033086419753,2.26635406939774
"{style=Grills} => {price=$15-$30}",0.0107069815936159,0.821538461538462,1.74214078960709,2.96103940550878
"{style=Carry in Wine and Beer} => {price=below $15}",0.0102257689377231,0.724431818181818,3.77537225705329,2.93254630534927
"{atmosphere=Singles Scene} => {price=$15-$30}",0.0083410193688094,0.583450210378682,1.23725480642997,1.26859180083305
"{occasion=Game} => {style=Power Brokers}",0.00765930143962786,0.533519553072626,3.19586286211195,1.78583971728516
"{occasion=Game} => {price=$30-$50}",0.00735854352969483,0.512569832402235,1.65622985560279,1.41665443910057
"{atmosphere=Place for Singles} => {cuisine=American}",0.00751894774832578,0.515818431911967,1.41157357877517,1.31062225672331
"{atmosphere=Place for Singles} => {price=$15-$30}",0.0114488511047841,0.785419532324622,1.66554758940253,2.46262697382018
"{cuisine=Coffee and Dessert} => {price=$15-$30}",0.00952400048121266,0.643631436314363,1.36487411262139,1.48282340700085
"{occasion=Pre-theater Dining} => {price=$30-$50}",0.00775955407627221,0.496153846153846,1.60318606563505,1.37049792959173
"{atmosphere=Classic Hotel Dining} => {price=$30-$50}",0.011308497413482,0.713021491782554,2.30393481575401,2.40617360152871
"{atmosphere=Classic Hotel Dining} => {cuisine=American}",0.00816056462284958,0.514538558786346,1.40807111555063,1.30716692523493
"{style=Soulfood} => {price=below $15}",0.00880218149737338,0.54875,2.85980747126437,1.79083978606698
"{cuisine=Vegetarian} => {price=below $15}",0.0115290532140995,0.668604651162791,3.48442929697942,2.43852684202787
"{atmosphere=Romantic} => {price=$30-$50}",0.014055419657537,0.750535331905782,2.42515057618846,2.76800765396611
"{cuisine=Bar-B-Q} => {price=$15-$30}",0.0114689016321129,0.598952879581152,1.27012950874741,1.31762982664094
"{atmosphere=Focus on Dessert} => {cuisine=Fountain and Ice Cream}",0.00946384889922605,0.490644490644491,6.10843817433932,1.80557110039749
"{occasion=none} => {price=$15-$30}",0.0120102658699924,0.609979633401222,1.29351265939251,1.35488218823184
"{atmosphere=Fabulous Wine Lists} => {price=$30-$50}",0.0169226450655652,0.802281368821293,2.59235380554539,3.49243825208757
"{atmosphere=No Reservations} => {price=$15-$30}",0.0122107711432811,0.534210526315789,1.13283795184632,1.13448602342309
"{atmosphere=Good Out of Town Business} => {price=$30-$50}",0.0179652724866664,0.730236348818256,2.35955993916176,2.55972258550762
"{occasion=Dancing} => {cuisine=American}",0.0138348638569194,0.534469403563129,1.46261328029122,1.36313089684841
"{atmosphere=For the Young and Young at Heart} => {price=$15-$30}",0.0162810281910414,0.61890243902439,1.31243421250489,1.38660464370213
"{occasion=After Hours Dining} => {price=$15-$30}",0.0175442114127602,0.654450261780105,1.38781633385862,1.52924916243479
"{price=over $50} => {cuisine=French}",0.0159602197537795,0.58962962962963,5.75033010327496,2.18695517035058
"{price=over $50} => {style=Power Brokers}",0.0175442114127602,0.648148148148148,3.88250549372337,2.36764224793849
"{atmosphere=Extraordinary Service} => {price=$30-$50}",0.0208725989493524,0.751082251082251,2.4269177965971,2.77408948811876
"{atmosphere=Good for Younger Kids} => {price=$15-$30}",0.0138549143842483,0.492867332382311,1.0451662628188,1.04199883283935
"{occasion=Late Night Menu} => {price=$15-$30}",0.0186269398885191,0.653764954257565,1.38636308213112,1.52622229970746
"{style=Southwestern} => {price=$15-$30}",0.0194690620363316,0.6719723183391,1.42497331539795,1.61093614135469
"{occasion=Prix Fixe Menus} => {price=$30-$50}",0.0171833019208405,0.587388622344071,1.89798640432706,1.67353628152912
"{atmosphere=Extraordinary Decor} => {price=$30-$50}",0.0209929021133256,0.710794297352342,2.29673824335282,2.38764348129116
"{style=Diners} => {price=below $15}",0.0204314873481173,0.67349636483807,3.50992243468484,2.47506112163786
"{style=Diners} => {cuisine=American}",0.0180855756506396,0.596166556510245,1.63145189790902,1.57138827816638
"{occasion=Special Brunch Menu} => {cuisine=American}",0.0185868388338613,0.607072691552063,1.6612973069118,1.61500390985283
"{occasion=Special Brunch Menu} => {price=$15-$30}",0.0172033524481694,0.56188605108055,1.19152620909016,1.20615116011632
"{cuisine=Mexican} => {price=$15-$30}",0.0207923968400369,0.678664921465969,1.43916553821139,1.64448789768955
"{atmosphere=Good Food} => {price=$15-$30}",0.0210931547499699,0.687132593076421,1.45712194171068,1.68899551713742
"{atmosphere=Business Scene} => {price=$30-$50}",0.0190680514897542,0.597737272155877,1.93142524855861,1.71658983764086
"{style=Coffee Shops} => {price=below $15}",0.0205116894574327,0.640977443609023,3.34045026359001,2.25087933634644
"{style=Coffee Shops} => {cuisine=American}",0.0159602197537795,0.49874686716792,1.36485603583719,1.26598538316558
"{style=Steakhouses} => {cuisine=American}",0.0164213818823435,0.507120743034056,1.38777173871498,1.28749410826841
"{style=Steakhouses} => {price=$15-$30}",0.0192284557083851,0.593808049535604,1.25921946777238,1.30094071817077
"{occasion=Open for Breakfast} => {price=below $15}",0.0170028471748807,0.495037945125511,2.57988740597594,1.60035084945855
"{occasion=Delivery Available} => {price=$15-$30}",0.019549264145647,0.519722814498934,1.10211555127003,1.10026389698489
"{occasion=Entertainment} => {price=$30-$50}",0.0208926494766812,0.513047759724274,1.6577741476183,1.41804483800694
"{style=Eclectic} => {cuisine=American}",0.0208525484220235,0.505590666018473,1.38358457486998,1.28350962616551
