"rules","support","confidence","lift","conviction"
"{price=below $15,style=Noodle Houses} => {cuisine=Japanese}",0.000541364237879456,1,184.718518518519,NA
"{price=below $15,style=Cafeterias} => {cuisine=American}",0.00118298111240326,1,2.73657064471879,NA
"{price=$30-$50,style=Caviar} => {cuisine=Russian}",0.00126318322171873,1,180.050541516245,NA
"{price=below $15,style=Oyster Bars} => {cuisine=Seafood}",0.000601515819866062,1,17.444561035327,NA
"{price=$15-$30,style=Pizzerias} => {cuisine=Italian}",0.00264666960741068,1,7.88771152933734,NA
"{price=below $15,style=Pastries} => {cuisine=Coffee and Dessert}",0.000721818983839275,1,67.579945799458,NA
"{price=$15-$30,style=Coffee Houses} => {cuisine=Italian}",0.00120303163973212,1,7.88771152933734,NA
"{price=$15-$30,style=Southern Comfort} => {cuisine=American}",0.00138348638569194,1,2.73657064471879,NA
"{price=over $50,style=Californian} => {cuisine=French}",0.00110277900308778,1,9.75244427062964,NA
"{price=$30-$50,style=Southwestern} => {cuisine=American}",0.00080202109315475,1,2.73657064471879,NA
"{price=$30-$50,style=Pizza} => {cuisine=Italian}",0.000882223202470225,1,7.88771152933734,NA
"{price=$30-$50,style=Hamburgers} => {cuisine=American}",0.0016040421863095,1,2.73657064471879,NA
"{price=$15-$30,style=Brasserie} => {cuisine=French}",0.00571440028872759,0.95959595959596,9.35840611828097,22.212174680194
"{price=below $15,style=Hamburgers} => {cuisine=American}",0.00836106989613827,0.928730512249443,2.54153665667647,8.90393855014636
"{price=below $15,style=Health Food} => {cuisine=Vegetarian}",0.00547379396078117,0.928571428571429,53.8506644518272,13.7585916509604
"{price=$30-$50,style=Grills} => {cuisine=American}",0.00170429482295384,0.876288659793814,2.39802582269173,5.12951471040355
"{price=over $50,style=Continental} => {cuisine=French}",0.00136343585836307,0.860759493670886,8.39450899244071,6.44540605963392
"{price=$15-$30,style=Health Food} => {cuisine=Vegetarian}",0.00112282953041665,0.848484848484849,49.2062015503876,6.48619320688135
"{price=below $15,style=Pizza} => {cuisine=Italian}",0.0120303163973212,0.842696629213483,6.6469479179809,5.55118756409008
"{price=below $15,style=Continental} => {cuisine=American}",0.000721818983839275,0.818181818181818,2.23901234567901,3.49018526687252
"{price=$15-$30,style=Pizza} => {cuisine=Italian}",0.0267674539840398,0.752112676056338,5.93244782629034,3.52265094401528
"{price=$15-$30,style=Omelettes} => {cuisine=American}",0.000601515819866062,0.714285714285714,1.95469331765628,2.22102698800978
"{price=$15-$30,style=International} => {cuisine=Fountain and Ice Cream}",0.000902273729799094,0.692307692307692,8.6191097968432,2.98895215944179
"{price=over $50,style=Cab} => {cuisine=French}",0.00186469904158479,0.688888888888889,6.71835049754487,2.88469801041482
"{price=$15-$30,style=Grills} => {cuisine=American}",0.00735854352969483,0.687265917602996,1.88075173522808,2.02913329614581
"{price=$30-$50,style=Soulfood} => {cuisine=American}",0.00152384007699402,0.678571428571429,1.85695865177347,1.97424621156425
"{price=below $15,style=Eclectic} => {cuisine=American}",0.00280707382604163,0.669856459330144,1.83310952277814,1.92213101653849
"{price=below $15,style=Tacos} => {cuisine=Mexican}",0.00344869070056543,0.666666666666667,21.760034904014,2.90808838272447
"{price=below $15,style=Deli} => {cuisine=Jewish}",0.00282712435337049,0.665094339622642,71.6434451281633,2.95819606252828
"{price=$30-$50,style=Brasserie} => {cuisine=French}",0.00312788226330353,0.661016949152542,6.4465309585518,2.64751172955849
"{price=over $50,style=High Tea} => {cuisine=American}",0.00158399165898063,0.642276422764228,1.75763480433158,1.77393713977405
"{price=below $15,style=Diners} => {cuisine=American}",0.0131130448730802,0.64180569185476,1.75634661594317,1.7716058714536
"{price=$15-$30,style=Oyster Bars} => {cuisine=Seafood}",0.00122308216706099,0.628865979381443,10.9702909603603,2.53998687804378
"{price=over $50,style=Power Brokers} => {cuisine=French}",0.0105064763203272,0.598857142857143,5.84032091178278,2.23726183143916
"{price=$30-$50,style=Southern} => {cuisine=American}",0.00282712435337049,0.594936708860759,1.62808633293397,1.56661725047119
"{price=$30-$50,style=High Tea} => {cuisine=American}",0.0224766411356619,0.577239958805355,1.57965792622542,1.50103859777797
"{price=$15-$30,style=Hamburgers} => {cuisine=American}",0.0326422584913983,0.576691462982643,1.57815692865823,1.49909364905
"{price=$15-$30,style=Southern} => {cuisine=American}",0.00763925091229899,0.562776957163959,1.54007890049905,1.45138539660485
"{price=$15-$30,style=High Tea} => {cuisine=American}",0.00487227814091511,0.561200923787529,1.53576597382602,1.44617245986201
"{price=$15-$30,style=Coffee Shops} => {cuisine=American}",0.00639611821790913,0.556719022687609,1.52350093484345,1.43155057832352
"{price=$15-$30,style=Pastries} => {cuisine=Coffee and Dessert}",0.00170429482295384,0.54140127388535,36.5878687449295,2.14828924445157
"{price=below $15,style=Bakeries} => {cuisine=Fountain and Ice Cream}",0.000581465292537194,0.537037037037037,6.68601727039071,1.98650358904439
"{price=$30-$50,style=Steakhouses} => {cuisine=American}",0.00685728034647311,0.533541341653666,1.4600735733133,1.36041882399835
"{price=below $15,style=Po' Boys} => {cuisine=American}",0.000721818983839275,0.529411764705882,1.44877269426289,1.34848067129166
"{price=below $15,style=Power Brokers} => {cuisine=American}",0.000561414765208325,0.528301886792453,1.44573543494578,1.3453077755945
"{price=$15-$30,style=Soulfood} => {cuisine=American}",0.00258651802542407,0.518072289156627,1.41774141834829,1.31675171432009
"{price=below $15,style=Coffee Houses} => {cuisine=Italian}",0.00176444640494045,0.511627906976744,4.0355733405912,1.78802296071815
